date,time,open,high,low,close,volume,turnover,open_interest
2013/10/18,09:05:00,974.0,985.0,971.0,980.0,6106.0,598193200.0,4054.0
2013/10/18,09:10:00,979.0,980.0,975.0,977.0,1550.0,151569600.0,4360.0
2013/10/18,09:15:00,977.0,982.0,977.0,981.0,1262.0,123672000.0,4610.0
2013/10/18,09:20:00,980.0,981.0,979.0,981.0,396.0,38813800.0,4610.0
2013/10/18,09:25:00,981.0,987.0,981.0,985.0,1810.0,178190600.0,5330.0
2013/10/18,09:30:00,985.0,987.0,984.0,987.0,1044.0,102911800.0,5766.0
2013/10/18,09:35:00,987.0,993.0,986.0,991.0,1394.0,137959200.0,6462.0
2013/10/18,09:40:00,990.0,990.0,986.0,986.0,1320.0,130443400.0,6390.0
2013/10/18,09:45:00,985.0,991.0,985.0,991.0,808.0,79849800.0,6468.0
2013/10/18,09:50:00,992.0,994.0,989.0,990.0,1030.0,102157800.0,6778.0
2013/10/18,09:55:00,990.0,993.0,988.0,992.0,428.0,42391600.0,6938.0
2013/10/18,10:00:00,991.0,992.0,990.0,992.0,266.0,26374000.0,6978.0
2013/10/18,10:05:00,992.0,993.0,990.0,991.0,464.0,46013200.0,7216.0
2013/10/18,10:10:00,991.0,992.0,988.0,989.0,412.0,40822400.0,7262.0
2013/10/18,10:15:00,989.0,992.0,987.0,991.0,700.0,69293800.0,7392.0
2013/10/18,10:35:00,991.0,991.0,988.0,989.0,126.0,12470200.0,7350.0
2013/10/18,10:40:00,989.0,990.0,986.0,990.0,386.0,38119200.0,7292.0
2013/10/18,10:45:00,990.0,990.0,987.0,989.0,84.0,8303800.0,7294.0
2013/10/18,10:50:00,990.0,991.0,989.0,991.0,248.0,24568800.0,7428.0
2013/10/18,10:55:00,991.0,992.0,990.0,990.0,146.0,14469400.0,7502.0
2013/10/18,11:00:00,990.0,991.0,988.0,990.0,816.0,80769600.0,7898.0
2013/10/18,11:05:00,991.0,991.0,989.0,989.0,160.0,15851200.0,8016.0
2013/10/18,11:10:00,989.0,990.0,989.0,989.0,86.0,8507600.0,7956.0
2013/10/18,11:15:00,989.0,991.0,989.0,989.0,92.0,9106600.0,7970.0
2013/10/18,11:20:00,989.0,990.0,989.0,990.0,66.0,6533600.0,7964.0
2013/10/18,11:25:00,990.0,991.0,990.0,991.0,96.0,9505600.0,7892.0
2013/10/18,11:30:00,991.0,991.0,990.0,991.0,76.0,7531000.0,7916.0
2013/10/18,13:35:00,991.0,991.0,989.0,989.0,218.0,21569800.0,7986.0
2013/10/18,13:40:00,989.0,989.0,987.0,987.0,484.0,47806600.0,7992.0
2013/10/18,13:45:00,988.0,988.0,987.0,988.0,148.0,14621000.0,8038.0
2013/10/18,13:50:00,987.0,991.0,987.0,991.0,384.0,38024200.0,8090.0
2013/10/18,13:55:00,991.0,991.0,990.0,990.0,134.0,13271400.0,8132.0
2013/10/18,14:00:00,990.0,990.0,988.0,989.0,340.0,33624800.0,8212.0
2013/10/18,14:05:00,989.0,989.0,988.0,988.0,54.0,5337800.0,8222.0
2013/10/18,14:10:00,988.0,988.0,986.0,988.0,226.0,22311400.0,8208.0
2013/10/18,14:15:00,988.0,988.0,988.0,988.0,2.0,197600.0,8206.0
2013/10/18,14:20:00,988.0,988.0,987.0,987.0,106.0,10464800.0,8160.0
2013/10/18,14:25:00,987.0,987.0,986.0,987.0,100.0,9868200.0,8078.0
2013/10/18,14:30:00,987.0,988.0,986.0,987.0,64.0,6317800.0,8062.0
2013/10/18,14:35:00,987.0,987.0,986.0,986.0,26.0,2564400.0,8038.0
2013/10/18,14:40:00,986.0,987.0,986.0,987.0,100.0,9869800.0,7994.0
2013/10/18,14:45:00,987.0,987.0,986.0,986.0,120.0,11838200.0,7950.0
2013/10/18,14:50:00,987.0,987.0,983.0,983.0,602.0,59292000.0,7610.0
2013/10/18,14:55:00,984.0,985.0,983.0,985.0,260.0,25587200.0,7554.0
2013/10/18,15:00:00,986.0,986.0,984.0,986.0,654.0,64388800.0,7604.0
2013/10/21,09:05:00,976.0,977.0,970.0,971.0,7772.0,756146200.0,68538.0
